Species,GenBank Number,
UAM 8075,FJ176092,
UAM 9082,FJ176093,
UAM 9222,FJ176094,
UAM 9224,FJ176095,
UAM 9083,FJ176096,
UAM 18370,FJ176097,
UAM 18369,FJ176098,
Panama (11),,
UAM 20291,FJ176099,
UAM 20296,FJ176100,
UAM 20324,FJ176101,
UAM 20456,FJ176102,
UAM 20455,FJ176103,
UAM 22773,FJ176104,
UAM 22774,FJ176105,
UAM 20302,FJ176106,
UAM 20301,FJ176107,
UAM 20379,FJ176108,
STRIBC MJM2602,FJ176109,
,,
Henicorhina leucosticta,,
Belize (10),,
UAM KSW4232,EU983473,
UAM 9233,EU983474,
UAM 9232,EU983475,
UAM 9069,EU983476,
UAM ABJ1226,EU983477,
UAM 24323,EU983478,
UAM 14319,EU983479,
UAM 14318,EU983480,
UAM 22731,EU983481,
UAM ABJ1248,EU983482,
Panama (11),,
UAM 20578,XXXXXX,
UAM 20625,XXXXXX,
UAM MJM684,XXXXXX,
UAM MJM1044,XXXXXX,
UAM 20396,XXXXXX,
UAM 22728,XXXXXX,
UAM 22726,XXXXXX,
UAM JMM907,XXXXXX,
UAM MJM1420,XXXXXX,
STRIBC MJM2588,XXXXXX,
STRIBC MJM2400,XXXXXX,
,,
Hylophilus decurtatus,,
Belize (3),,
UAM 24527,FJ176014,
UAM 24533,FJ176015,
UAM ABJ574,FJ176016,
Panama (3),,
MBM 15795,FJ176017,
UAM JMM910,FJ176018,
MBM JK06-093,FJ176019,
,,
Hylophilus ochraceiceps,,
Belize (1),,
UAM15266, KM115242,
Panama (1),,
MBM15854, KM115258,
,,
Leptotila cassinii,,
Belize (10),,
UAM 18173,FJ175697,
UAM 15269,FJ175698,
UAM 14341,FJ175699,
UAM 18176,FJ175600,
UAM 14500,FJ175601,
UAM 8005,FJ175602,
UAM 18174,FJ175603,
UAM 18177,FJ175604,
UAM 18172,FJ175605,
UAM 18175,FJ175606,
Panama (9),,
UAM 20256,FJ175607,
UAM 20360,FJ175608,
STRIBC PA-LCA70,FJ175609,
MBM 14834,FJ175610,
MBM 15128,FJ175611,
UAM 20257,FJ175612,
UAM 21703,FJ175613,
STRIBC MJM3013,FJ175614,
STRIBC MJM4623,FJ175615,
,,
Leptotila verreauxi,,
Belize (1),,
UAM 18178,FJ175693,
Panama (5),,
UAM 20361,FJ175694,
UAM 21700,FJ175695,
UAM 20418,FJ175696,
STRIBC MJM2696,PENDING,
STRIBC MJM 6722,PENDING,
,,
Megarhynchus pitangua,,
Belize (1),,
UAM 24521,FJ175974,
Panama (2),,
UAM MJM513,FJ175975,
MBM 14853,FJ175976,
,,
Melanerpes pucherani,,
Belize (1),,
UAM 8072,FJ175794,
Panama (4),,
UAM 20349,FJ175795,
UWBM 76898,FJ175796,
STRIBC MJM1171,FJ175797,
MJM4659, PENDING
,,
Microrhopias quixensis,,
Belize (2),,
UAM ABJ596,FJ175881,
UAM ABJ610,FJ175882,
Panama (9),,
UAM 20400,FJ175883,
MBM 16115,FJ175884,
MBM 14841,FJ175885,
MBM GMS1169,FJ175886,
MBM 14842,FJ175887,
UAM MJM248,PENDING,
UAM MJM249,PENDING,
MBM GMS1167,PENDING,
STRIBC MJM4502,PENDING,
,,
Myiarchus tuberculifer,,
Belize (3),,
UAM 24388,FJ175969,
UAM KSW4234,FJ175970,
UAM 18234,FJ175971,
Panama (2),,
UAM MJM702,FJ175972,
MBM 15474,FJ175973,
,,
Myiobius sulphureipygius,,
Belize (3),,
UAM 24366,FJ175957,
UAM 24386,FJ175958,
UAM KSW4236,FJ175959,
Panama (3),,
UAM KSW4417,FJ175960,
MBM 16121,FJ175961,
MBM 16122,FJ175962,
,,
Myiopagis viridicata,,
Belize (1),,
UAM ABJ1538,FJ175933,
Panama (1),,
UAM JMM819,FJ175934,
,,
Myiozetetes similis,,
Belize (2),,
UAM 24389,FJ175977,
UAM 24377,FJ175978,
Panama (7),,
UAM 20298,FJ175979,
UAM MJM688,FJ175980,
STRIBC MJM6804,PENDING,
STRIBC MJM6670,PENDING,
STRIBC MJM6705,PENDING,
STRIBC MJM6725,PENDING,
STRIBC MJM7063,PENDING,
,,
Notharchus macrorhynchos,,
Belize (2),,
UAM 18215,FJ175785,
UAM 18214,FJ175786,
Panama (1),,
MVUP JMM533,FJ175787,
,,
Nyctidromus albicollis,,
Belize (3),,
UAM 24365,FJ175620,
UAM 18219,FJ175621,
UAM 9478,FJ175622,
Panama (1),,
MBM JMD734,FJ175623,
,,
Onychorhynchus coronatus,,
Belize (3),,
UAM 24378,FJ175945,
UAM 18235,FJ175946,
UAM ABJ1543,FJ175947,
Panama (10),,
UAM JMM855,FJ175948,
STRIBC PA-OCO23 ,FJ175949,
MBM 15261,FJ175950,
STRIBC MJM6724,PENDING,
STRIBC MJM6658,PENDING,
STRIBC MJM7023,PENDING,
STRIBC MJM7283,PENDING,
STRIBC MJM7593,PENDING,
STRIBC MJM7598,PENDING,
STRIBC MJM7602,PENDING,
,,
Oryzoborus funereus,,
Belize (3),,
UAM 8013,FJ176152,
UAM 9077,FJ176153,
UAM KSW2046,,
Panama (9),,
UAM JMM885,FJ176154,
STRIBC PA-OAN97,FJ176155,
STRIBC MJM6712,PENDING,
STRIBC MJM6765,PENDING,
STRIBC MJM6823,PENDING,
STRIBC MJM6710,PENDING,
STRIBC MJM6740,PENDING,
STRIBC MJM6647,PENDING,
STRIBC MJM6962,PENDING,
,,
Phaethornis longirostris,,
Belize (10),,
UAM 7928,FJ175629,
UAM 9253,FJ175630,
UAM 10248,FJ175631,
UAM 14444,FJ175632,
UAM 14484,FJ175633,
UAM 7938,FJ175634,
UAM 9493,FJ175635,
UAM 9566,FJ175636,
UAM 7939,FJ175637,
UAM 8058,FJ175638,
Panama (13),,
UAM 20457 ,FJ175639,
UAM 20465,FJ175640,
UAM 20582,FJ175641,
UAM MJM490,FJ175642,
UAM 19207,FJ175643,
UAM 20441,FJ175644,
UAM 20287,FJ175645,
UAM 20500,FJ175646,
UAM 20430,FJ175647,
UAM MJM548,FJ175648,
UAM JMM604 ,FJ175649,
UAM JMM588 ,FJ175650,
LSUMZ B-28503,EU042579,
,,
Phaethornis striiigularis,,
Belize (10),,
UAM 8035,FJ175751,
UAM 15274,FJ175752,
UAM 10290,FJ175753,
UAM 8034,FJ175754,
UAM 24379,FJ175755,
UAM 7920,FJ175756,
UAM 24318,FJ175757,
UAM 24317,FJ175758,
UAM 24371,FJ175759,
UAM ABJ1205,FJ175760,
Panama (10),,
UAM 19800,FJ175761,
UAM 20464,FJ175762,
UAM 20255,FJ175763,
UAM 20253,FJ175764,
UAM 20248,FJ175765,
UAM MJM1453,FJ175766,
UAM 20246,FJ175767,
MBM 15668,FJ175768,
MBM 15667,FJ175769,
ANSP 189143,FJ175770,
,,
Pipra mentalis,,
Belize (12),,
UAM 24372,FJ175991,
UAM 24512,FJ175992,
UAM 24514,FJ175993,
UAM 24515,FJ175994,
UAM 24517,FJ175995,
UAM ABJ575,FJ175996,
UAM ABJ626,FJ175997,
UAM ABJ631,FJ175998,
UAM 8006,FJ175999,
UAM 9068,FJ176000,
UAM 9507,FJ176001,
UAM 9577,FJ176002,
Panama (11),,
UAM 20252,FJ176003,
UAM 20277,FJ176004,
UAM 20308,FJ176005,
UAM MJM523,FJ176006,
UAM 20431,FJ176007,
UAM 20432,FJ176008,
UAM 20408,FJ176009,
UAM 19206,FJ176010,
UAM 20607,FJ176011,
UAM 20442,FJ176012,
STRIBC MJM2603,FJ176013,
,,
Poecilotriccus sylvia,,
Belize (5),,
UAM 24321,FJ175935,
UAM 24322,FJ175936,
UAM 18253,FJ175937,
UAM 24361,FJ175938,
UAM 24373,FJ175939,
Panama (4),,
STRIBC PA-TSY117,FJ175940,
STRIBC MJM7055,PENDING,
STRIBC MJM7015,PENDING,
STRIBC MJM7055,PENDING,
,,
Polioptila plumbea,,
Belize (1),,
UAM ABJ594,FJ176025,
Panama (3),,
MBM 14679,FJ176026,
MBM JK06-097,FJ176027,
MBM JMD743,FJ176028,
,,
Pteroglossus torquatus,,
Belize (3),,
UAM 9087,FJ175788,
UAM 24521,FJ175789,
UAM ABJ1568,FJ175790,
Panama (3),,
UAM 20345,FJ175791,
UAM KSW4393,FJ175792,
ANSP 189170,FJ175793,
,,
Ramphocaenus melanurus,,
Belize (2),,
UAM 24532,FJ176020,
UAM ABJ350,FJ176021,
Panama (7),,
UAM JMM883,FJ176022,
UAM JMM884,FJ176023,
STRIBC PA-RME116,FJ176024,
STRIBC MJM6418,PENDING,
STRIBC MJM5621,PENDING,
STRIBC MJM8214,PENDING,
STRIBC MJM8210,PENDING,
,,
Saltator maximus,,
Belize (9),,
UAM KSW4255,FJ176161,
UAM 18168,FJ176162,
UAM 18167,FJ176163,
UAM ABJ1269,FJ176164,
UAM 8024,FJ176165,
UAM 18170,FJ176166,
UAM 7947,FJ176167,
UAM 18171,FJ176168,
UAM ABJ1569,FJ176169,
Panama (11),,
UAM 20472,FJ176170,
UAM 14745,FJ176171,
UWBM 76997,FJ176172,
MBM 14747,FJ176173,
UAM 20619,FJ176174,
UAM JMM592,FJ176175,
UAM JMM595,FJ176176,
UAM MJM1449,FJ176177,
UAM 14746,FJ176178,
UAM 19432,FJ176179,
STRIBC MJM2405,FJ176180,
,,
Sclerurus guatemalensis,,
Belize (1),,
UAM ABJ1580,FJ175818,
LSUMZ B8771,JQ903757,
Panama (5),,
MBM 15326,FJ175819,
UAM 20498,FJ175820,
STRIBC PA-SGU23,FJ175821,
STRIBC MJM6433,PENDING,
LSUMZ B26538,JQ903760,
,,
Sporophila americana,,
Belize (3),,
UAM 24353,FJ176146,
UAM 24384,FJ176147,
UAM 24537,FJ176148,
Panama (11),,
UAM 19793,FJ176149,
STRIBC PA-SAM25,FJ176150,
STRIBC PA-SAM8,FJ176151,
STRIBC MJM6629,PENDING,
STRIBC MJM6824,PENDING,
STRIBC MJM6691,PENDING,
STRIBC MJM6736,PENDING,
STRIBC MJM7302,PENDING,
STRIBC MJM7275,PENDING,
STRIBC MJM7287,PENDING,
STRIBC MJM7307,PENDING,
,,
Tangara larvata,,
Belize (2),,
UAM 24319,FJ176115,
UAM 24359,FJ176116,
Panama (5),,
UAM MJM568,FJ176117,
UAM 22840 ,FJ176118,
STRIBC MJM6821,PENDING,
STRIBC MJM5600,PENDING,
STRIBC MJM6596,PENDING,
,,
Taraba major,,
Belize (6),,
UAM 18276,FJ175852,
UAM 7995,FJ175853,
UAM 7997,FJ175854,
UAM KSW2115,PENDING,
UAM KSW2102,PENDING,
UAM KSW2104,PENDING,
Panama (2),,
UAM 20416,FJ175855,
UAM 20454,FJ175856,
,,
Terenotriccus erythrurus,,
Belize (3),,
UAM ABJ514,FJ175951,
UAM ABJ1567,FJ175952,
UAM ABJ1560,FJ175953,
Panama (9),,
UAM 20278,FJ175954,
STRIBC PA-TER3774,FJ175955,
UAM JMM691,FJ175956,
STRIBC MJM6436,PENDING,
STRIBC MJM6690,PENDING,
STRIBC MJM6646,PENDING,
STRIBC MJM6649,PENDING,
STRIBC MJM5634,PENDING,
STRIBC MJM5645,PENDING,
,,
Thalurania columbica,,
Belize (1),,
UAM ABJ617,FJ175776,
Panama (9),,
UWBM 76938,FJ175777,
UWBM 76922,FJ175778,
STRIBC MJM6786,PENDING,
STRIBC MJM6813,PENDING,
STRIBC MJM4620,PENDING,
STRIBC MJM4634,PENDING,
STRIBC MJM5333,PENDING,
STRIBC MJM4503,PENDING,
STRIBC JTW_541,PENDING,
,,
Thamnophilus atrinucha,,
Belize (3),,
UAM ABJ1216,FJ175875,
UAM ABJ1239,FJ175876,
UAM ABJ1240,FJ175877,
Panama (8),,
UAM 20567,FJ175878,
UAM 20613,FJ175879,
UAM 20572,FJ175880,
STRIBC MJM6617,PENDING,
STRIBC MJM6442,PENDING,
STRIBC MJM6616,PENDING,
STRIBC MJM6614,PENDING,
STRIBC MJM6652,PENDING,
,,
Thamnophilus doliatus,,
Belize (10),,
UAM 8070,FJ175857,
UAM 24352,FJ175858,
UAM 24390,FJ175859,
UAM 24394,FJ175860,
UAM ABJ600,FJ175861,
UAM 9072,FJ175862,
UAM 24362,FJ175863,
UAM 15470,FJ175864,
UAM 8042,FJ175865,
UAM 18367,FJ175866,
Panama (8),,
UAM 20595,FJ175867,
UAM 22838,FJ175868,
UAM MJM663,FJ175869,
UAM 22837,FJ175870,
UAM 22836,FJ175871,
UAM MJM1425,FJ175872,
STRIBC PA-THD29,FJ175873,
STRIBC PA-THD120,FJ175874,
,,
Thraupis episcopus,,
Belize (2),,
UAM 24383,FJ176110,
UAM 18358,FJ176111,
Panama (10),,
UAM MJM1804,FJ176112,
UAM JMM821,FJ176113,
UAM JMM877,FJ176114,
STRIBC MJM6704,PENDING,
STRIBC MJM6702,PENDING,
STRIBC MJM6753,PENDING,
STRIBC MJM6769,PENDING,
STRIBC MJM6792,PENDING,
STRIBC MJM6767,PENDING,
STRIBC MJM7618,PENDING,
,,
Threnetes ruckeri,,
Belize (2),,
UAM 24529,FJ175624,
UAM 18197,FJ175625,
Panama (11),,
UAM MJM1465,FJ175626,
UAM MJM629,FJ175627,
UAM 20351,FJ175628,
STRIBC MJM6638,PENDING,
STRIBC MJM6807,PENDING,
STRIBC MJM4628,PENDING,
STRIBC MJM4450,PENDING,
STRIBC MJM4564,PENDING,
STRIBC MJM4639,PENDING,
STRIBC MJM6849,PENDING,
STRIBC MJM2780,PENDING,
,,
Tiaris olivaceus,,
Belize (2),,
UAM 24360,FJ176156,
UAM 24376,FJ176157,
Panama (7),,
UAM MJM488,FJ176158,
UAM KSW4783,FJ176159,
UAM JMM912 ,FJ176160,
STRIBC MJM6659,PENDING,
STRIBC MJM6667,PENDING,
STRIBC MJM7031,PENDING,
STRIBC MJM7044,PENDING,
,,
Tityra semifasciata,,
Belize (2),,
UAM ABJ601,FJ175987,
UAM 24538,FJ175988,
Panama (3),,
MVUP MJM610,FJ175989,
UWBM 76942,FJ175990,
STRIBC MJM8114,PENDING,
,,
Todirostrum cinereum,,
Belize (2),,
UAM ABJ671,FJ175941,
UAM ABJ693,FJ175942,
Panama (3),,
UAM 20346,FJ175943,
STRIBC MJM2584,FJ175944,
STRIBC MJM 6782,PENDING,
,,
Troglodytes aedon,,
Belize (1),,
UMBM XXXXX,PENDING,
Panama (10),,
UMBM XXXXX,PENDING,
STRIBC MJM6668,PENDING,
STRIBC MJM6789,PENDING,
STRIBC MJM6739,PENDING,
STRIBC MJM6759,PENDING,
STRIBC MJM6752,PENDING,
STRIBC MJM7261,PENDING,
STRIBC MJM7016,PENDING,
STRIBC MJM7017,PENDING,
STRIBC MJM7264,PENDING,
,,
Turdus grayi,,
Belize (10),,
UAM 9236,FJ176029,
UAM 14268,FJ176030,
UAM 14314,FJ176031,
UAM 9197,FJ176032,
UAM 9074,FJ176033,
UAM 9533,FJ176034,
UAM 9489,FJ176035,
UAM KSW4197,FJ176036,
UAM 8011,FJ176037,
UAM 14335,FJ176038,
Panama (10),,
UAM 20407,FJ176039,
UAM 20415,FJ176040,
UAM 20583,FJ176041,
UAM 19455,FJ176042,
UAM 20319,FJ176043,
UAM 20566,FJ176044,
UAM 20367,FJ176045,
UAM 20357,FJ176046,
UAM 20339,FJ176047,
UAM MJM466,FJ176048,
,,
Volatinia jacarina,,
Belize (3),,
UAM 24363,FJ176140,
UAM KSW4202,FJ176141,
UAM 24531,FJ176142,
Panama (5),,
MBM 14839,FJ176143,
MBM 16164,FJ176144,
STRIBC MJM4545,FJ176145,
STRIBC MJM4528,PENDING,
STRIBC MJM6714,PENDING,
,,
Xenops minutus,,
Belize (10),,
UAM 24522,FJ175798,
UAM ABJ428,FJ175799,
UAM ABJ622,FJ175800,
UAM ABJ607,FJ175801,
UAM 24355,FJ175802,
UAM 24347,FJ175803,
UAM 14330,FJ175804,
UAM 24348,FJ175805,
UAM 24357,FJ175806,
UAM 24356,FJ175807,
Panama (10),,
UAM 20338,FJ175808,
UAM 20495,FJ175809,
UAM KSW4392,FJ175810,
UAM 20326,FJ175811,
UAM 20492,FJ175812,
UAM 20350,FJ175813,
UAM MJM1462,FJ175814,
UAM 22105,FJ175815,
UAM 22110,FJ175816,
UAM MJM1461,FJ175817,
